Site,Lat,Lon,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Total
FAO,41.562887,-70.611374,2,0,0,0,0,0,0,273,329,317,271,225,194,54,5,1,1,0,0,0,0,0,0,0,1672
CRJ,41.770538,-71.45462,0,1,0,0,0,0,0,239,316,283,264,220,20,174,128,13,0,0,0,1,0,0,0,0,1659
APW,42.266885,-71.796589,0,0,0,0,0,0,0,1,306,224,223,190,155,138,154,178,76,0,0,0,0,0,0,0,1645
MC7,42.273291,-71.794311,0,0,0,0,0,0,0,1,151,260,304,270,66,120,158,163,137,8,0,0,0,0,0,0,1638
WRA,42.050099,-71.34589,0,1,0,0,0,0,0,292,426,316,231,187,67,105,6,0,0,0,0,0,0,0,0,0,1631
KFW,41.720285,-72.587556,0,0,0,0,0,0,1,238,207,223,224,191,77,97,139,151,34,1,0,0,0,0,0,0,1583
WZU,42.265003,-71.818522,0,1,0,1,0,0,0,0,196,286,221,215,22,156,154,136,175,9,0,0,0,0,0,0,1572
MAU,42.375649,-71.144515,1,0,0,0,0,0,0,1,141,262,265,278,66,255,232,50,9,1,0,0,0,0,0,0,1561
HC1,41.670201,-72.875758,0,0,0,0,0,0,1,303,260,220,219,171,9,144,112,106,5,0,0,0,0,0,0,0,1550
BRF,41.281664,-72.811545,1,0,0,0,0,0,0,31,515,425,331,224,22,0,0,0,0,0,0,0,0,0,0,0,1549
QEA,41.868055,-71.387888,0,0,0,0,0,0,0,0,153,293,258,202,100,107,152,132,128,10,0,0,0,0,0,0,1535
QWH,41.756749,-70.713575,0,0,2,0,1,0,0,177,280,238,206,210,90,113,196,15,1,2,0,0,0,0,0,0,1531
NEI,41.307257,-72.94271,3,0,0,0,0,0,1,4,302,253,258,248,26,171,206,18,1,0,0,0,0,0,0,0,1491
MLS,42.461089,-71.069503,1,0,0,0,0,0,0,6,295,262,229,102,117,150,140,160,23,0,0,0,0,0,0,0,1485
XHI,42.450085,-73.245382,0,0,0,0,0,0,1,24,154,203,198,176,110,189,208,150,37,0,0,0,0,0,0,0,1450
VMK,42.708773,-71.16396,0,0,0,0,0,0,0,0,128,243,239,221,92,118,145,140,111,5,0,0,0,0,0,0,1442
KC3,41.90397,-71.023359,0,0,0,0,0,0,0,110,234,238,218,196,20,123,126,95,52,0,0,0,0,0,0,0,1412
QBM,41.371189,-71.954888,0,0,0,0,0,0,7,271,227,227,196,143,45,94,107,91,3,0,0,0,0,0,0,0,1411
QLO,42.630513,-71.279997,0,0,0,0,0,0,0,21,267,207,177,166,116,7,122,152,142,28,0,0,0,0,0,0,1405
MC3,42.277137,-71.794467,1,0,0,0,0,0,0,10,174,182,224,207,39,152,163,131,89,5,0,0,0,0,0,0,1377
QSP,42.121256,-72.605629,0,0,0,0,0,1,0,17,160,176,192,182,93,136,164,161,51,0,0,0,0,0,0,0,1333
LC6,42.558158,-71.137418,1,0,0,0,0,0,0,1,71,160,244,224,106,125,191,111,77,3,0,0,0,0,0,0,1314
BKL,42.344606,-71.111037,21,0,0,0,0,0,0,87,150,140,162,156,159,128,105,157,8,2,0,0,0,0,0,0,1275
PVG,41.848318,-71.457723,0,0,0,0,0,0,0,288,250,254,188,131,57,76,1,0,0,0,0,0,0,0,0,0,1245
HC9,42.426817,-71.692753,116,6,1,0,0,0,0,167,103,180,155,143,82,41,59,47,56,2,0,0,0,0,0,0,1158
QGQ,41.406132,-73.446357,6,1,0,0,0,0,0,0,223,200,160,137,11,106,85,98,100,8,0,0,0,0,0,0,1135
JC5,42.335861,-71.541163,0,0,0,0,0,0,0,0,144,154,143,116,34,110,168,129,113,7,0,0,0,0,0,0,1118
DS,42.552464,-70.944455,0,0,0,0,0,0,0,0,193,186,163,157,24,134,121,126,7,0,0,0,0,0,0,0,1111
BLL,42.579349,-71.287498,0,0,0,0,0,0,0,32,304,185,163,112,17,125,84,74,0,0,0,0,0,0,0,0,1096
HYE,42.252622,-71.118987,0,0,0,0,0,0,0,0,73,126,140,169,80,115,182,131,53,25,0,0,0,0,0,0,1094
EEX,41.349499,-72.397331,0,0,0,0,0,0,0,179,252,259,176,158,36,0,1,1,0,0,0,0,0,0,0,0,1062
MC5,42.286441,-71.790648,0,0,0,0,0,0,2,137,112,98,158,141,54,77,88,108,63,2,0,0,0,0,0,0,1040
JC2,42.525128,-71.75919,93,0,0,0,0,1,1,8,103,199,137,89,34,67,74,83,124,16,0,0,0,1,0,0,1030
JC1,42.348903,-71.856294,0,0,0,0,0,0,2,184,147,148,133,122,14,59,60,66,2,0,0,0,0,0,0,0,937
NC2,41.97919,-71.448356,1,0,0,0,0,0,0,128,135,147,127,129,44,43,77,76,8,0,0,0,0,0,0,0,915
MC2,42.249158,-71.793365,0,0,0,0,0,0,0,1,65,129,146,143,85,80,74,89,90,3,0,0,0,0,0,0,905
ZBL,41.443635,-71.490032,0,0,0,1,0,0,0,60,209,205,145,147,31,37,36,13,1,0,0,0,0,0,0,0,885
YED,43.530443,-71.439512,1,0,0,0,0,1,30,195,188,170,170,14,0,0,1,0,0,0,0,0,0,0,0,0,770
SSF,42.579409,-71.786771,3,0,5,4,0,0,0,105,138,147,129,68,39,39,41,37,2,0,0,0,0,0,0,0,757
USL,42.321152,-71.633242,4,0,0,0,0,0,1,3,131,97,141,109,28,37,69,71,61,1,0,0,0,0,0,0,753
JC6,42.366256,-71.559306,2,0,0,0,1,0,0,2,139,133,95,73,14,71,79,69,62,1,0,0,1,0,0,0,742
ZBO,41.672292,-72.945911,1,0,0,0,0,0,0,2,159,132,116,96,4,57,44,34,24,0,0,0,0,0,0,0,669
MC6,42.271514,-71.769819,1,0,0,0,0,0,12,98,102,103,82,70,45,37,44,11,0,0,0,0,0,0,0,0,605
QFO,42.330905,-72.671122,23,1,2,2,1,3,13,18,53,70,119,115,74,64,18,1,5,4,0,0,0,0,0,0,586
BIL,42.144485,-71.548277,10,0,0,0,0,0,1,103,117,113,83,51,17,15,30,39,2,0,0,0,0,0,0,0,581
YEE,42.913083,-72.266444,1,0,0,0,0,0,0,2,165,112,76,73,11,70,59,5,2,0,0,0,0,0,0,0,576
FRG,42.295134,-71.408593,0,0,0,0,0,0,2,40,72,56,56,49,2,46,45,39,2,0,0,0,0,1,0,0,410
NHV,41.315924,-72.87248,1,0,0,0,0,0,0,10,140,114,105,29,1,1,0,0,0,0,0,0,0,0,0,0,401
JC8,42.137454,-71.532986,0,0,0,0,0,0,0,8,46,43,50,25,15,25,38,44,35,1,0,0,0,0,0,0,330
LNC,42.455645,-71.673124,1,0,0,0,0,0,0,2,59,31,26,19,4,17,24,20,19,2,1,0,0,0,0,0,225
LC5,42.272508,-71.611266,0,0,0,0,0,0,0,0,20,21,34,26,10,23,16,22,19,0,0,0,0,0,0,0,191
KC5,42.295961,-71.712757,1,0,0,0,0,0,0,4,39,24,26,21,5,14,19,17,10,0,0,0,0,0,0,0,180
LC3,42.378974,-71.785972,0,0,0,0,0,0,0,0,36,23,25,23,4,22,6,20,14,1,0,0,0,0,0,0,174
LC4,42.28414,-71.60022,0,0,0,0,0,0,0,9,17,31,24,21,6,7,14,7,8,0,0,0,0,0,0,0,144
IC9,42.219901,-71.696297,1,0,0,0,0,0,0,2,40,23,16,16,3,6,9,9,17,0,0,0,0,0,0,0,142
KC8,42.253319,-71.969938,0,0,0,0,0,0,0,1,26,17,26,21,0,14,11,13,13,0,0,0,0,0,0,0,142
KC4,42.292439,-71.704693,0,0,0,0,0,0,0,0,23,20,23,11,1,18,4,17,9,0,0,0,0,0,0,0,126
LC9,42.288913,-71.807274,73,0,0,0,0,0,0,0,3,4,0,0,1,1,5,2,1,0,0,0,0,0,0,0,90
